ALDER;KØN;TID;INDHOLD
14;K;2020;33113
14;K;2021;33429
14;K;2022;33208
14;K;2023;33853
15;M;1980;42181
15;M;1981;43276
15;M;1982;44685
15;M;1983;41135
15;M;1984;38044
15;M;1985;36570
15;M;1986;36317
15;M;1987;38613
15;M;1988;38434
15;M;1989;36783
15;M;1990;36614
15;M;1991;36963
15;M;1992;34097
15;M;1993;32252
15;M;1994;32467
15;M;1995;31102
15;M;1996;30289
15;M;1997;28177
15;M;1998;28373
15;M;1999;27362
15;M;2000;28028
15;M;2001;29107
15;M;2002;30124
15;M;2003;30617
15;M;2004;32071
15;M;2005;33247
15;M;2006;34392
15;M;2007;34545
15;M;2008;36271
15;M;2009;35943
15;M;2010;37064
15;M;2011;37173
15;M;2012;35876
15;M;2013;35710
15;M;2014;34988
15;M;2015;34743
15;M;2016;35333
15;M;2017;34489
15;M;2018;34265
15;M;2019;34562
15;M;2020;34643
15;M;2021;34575
15;M;2022;35416
15;M;2023;35327
15;K;1980;39933
15;K;1981;41152
15;K;1982;42568
15;K;1983;39442
15;K;1984;35923
15;K;1985;34545
15;K;1986;34745
15;K;1987;36496
15;K;1988;37029
15;K;1989;35167
15;K;1990;35146
15;K;1991;35811
15;K;1992;32219
15;K;1993;30906
15;K;1994;30982
15;K;1995;29740
15;K;1996;29092
15;K;1997;27245
15;K;1998;26952
15;K;1999;26331
15;K;2000;26829
15;K;2001;27932
15;K;2002;28571
15;K;2003;28783
15;K;2004;30219
15;K;2005;31563
