"Jahr","Alter","Geschlecht","value"
"2001","35 Jahre","Geschlecht - Total",124258
"2002","35 Jahre","Geschlecht - Total",121932
"2003","35 Jahre","Geschlecht - Total",120574
"2004","35 Jahre","Geschlecht - Total",117843
"2005","35 Jahre","Geschlecht - Total",114268
"2006","35 Jahre","Geschlecht - Total",113058
"2007","35 Jahre","Geschlecht - Total",110389
"2008","35 Jahre","Geschlecht - Total",108682
"2009","35 Jahre","Geschlecht - Total",109019
"2010","35 Jahre","Geschlecht - Total",106318
"2011","35 Jahre","Geschlecht - Total",107982
"2012","35 Jahre","Geschlecht - Total",110002
"2013","35 Jahre","Geschlecht - Total",111703
"2014","35 Jahre","Geschlecht - Total",114646
"2015","35 Jahre","Geschlecht - Total",119484
"2016","35 Jahre","Geschlecht - Total",120459
"2017","35 Jahre","Geschlecht - Total",122467
"2018","35 Jahre","Geschlecht - Total",121206
"2019","35 Jahre","Geschlecht - Total",123350
"2020","35 Jahre","Geschlecht - Total",124565
"2021","35 Jahre","Geschlecht - Total",126068
"2022","35 Jahre","Geschlecht - Total",126793
"1860","36 Jahre","Geschlecht - Total",35229
"1861","36 Jahre","Geschlecht - Total",35579
"1862","36 Jahre","Geschlecht - Total",35928
"1863","36 Jahre","Geschlecht - Total",36278
"1864","36 Jahre","Geschlecht - Total",36627
"1865","36 Jahre","Geschlecht - Total",36478
"1866","36 Jahre","Geschlecht - Total",36348
"1867","36 Jahre","Geschlecht - Total",36234
"1868","36 Jahre","Geschlecht - Total",36138
"1869","36 Jahre","Geschlecht - Total",36060
"1870","36 Jahre","Geschlecht - Total",36406
"1871","36 Jahre","Geschlecht - Total",36752
"1872","36 Jahre","Geschlecht - Total",37130
"1873","36 Jahre","Geschlecht - Total",37544
"1874","36 Jahre","Geschlecht - Total",37994
"1875","36 Jahre","Geschlecht - Total",38040
"1876","36 Jahre","Geschlecht - Total",38164
"1877","36 Jahre","Geschlecht - Total",38149
"1878","36 Jahre","Geschlecht - Total",38138
"1879","36 Jahre","Geschlecht - Total",38131
"1880","36 Jahre","Geschlecht - Total",37882
"1881","36 Jahre","Geschlecht - Total",37533
"1882","36 Jahre","Geschlecht - Total",37129
"1883","36 Jahre","Geschlecht - Total",36874
"1884","36 Jahre","Geschlecht - Total",36584
"1885","36 Jahre","Geschlecht - Total",36261
"1886","36 Jahre","Geschlecht - Total",35965
"1887","36 Jahre","Geschlecht - Total",35735
"1888","36 Jahre","Geschlecht - Total",35677
"1889","36 Jahre","Geschlecht - Total",35818
"1890","36 Jahre","Geschlecht - Total",36008
"1891","36 Jahre","Geschlecht - Total",36426
"1892","36 Jahre","Geschlecht - Total",36900
"1893","36 Jahre","Geschlecht - Total",38140
"1894","36 Jahre","Geschlecht - Total",39400
"1895","36 Jahre","Geschlecht - Total",40426
"1896","36 Jahre","Geschlecht - Total",41403
"1897","36 Jahre","Geschlecht - Total",42357
"1898","36 Jahre","Geschlecht - Total",43113
"1899","36 Jahre","Geschlecht - Total",43958
"1900","36 Jahre","Geschlecht - Total",44455
"1901","36 Jahre","Geschlecht - Total",44913
"1902","36 Jahre","Geschlecht - Total",45375
"1903","36 Jahre","Geschlecht - Total",45933
"1904","36 Jahre","Geschlecht - Total",46453
"1905","36 Jahre","Geschlecht - Total",47248
"1906","36 Jahre","Geschlecht - Total",48228
"1907","36 Jahre","Geschlecht - Total",49751
"1908","36 Jahre","Geschlecht - Total",51178
"1909","36 Jahre","Geschlecht - Total",50956
"1910","36 Jahre","Geschlecht - Total",52186
"1911","36 Jahre","Geschlecht - Total",54525
"1912","36 Jahre","Geschlecht - Total",58917
"1913","36 Jahre","Geschlecht - Total",57324
"1914","36 Jahre","Geschlecht - Total",55839
"1915","36 Jahre","Geschlecht - Total",54264
"1916","36 Jahre","Geschlecht - Total",52433
"1917","36 Jahre","Geschlecht - Total",57919
"1918","36 Jahre","Geschlecht - Total",55052
"1919","36 Jahre","Geschlecht - Total",53889
"1920","36 Jahre","Geschlecht - Total",52902
"1921","36 Jahre","Geschlecht - Total",51704
"1922","36 Jahre","Geschlecht - Total",54713
"1923","36 Jahre","Geschlecht - Total",54746
"1924","36 Jahre","Geschlecht - Total",54209
"1925","36 Jahre","Geschlecht - Total",53896
"1926","36 Jahre","Geschlecht - Total",51767
"1927","36 Jahre","Geschlecht - Total",57780
"1928","36 Jahre","Geschlecht - Total",57013
"1929","36 Jahre","Geschlecht - Total",57795
"1930","36 Jahre","Geschlecht - Total",56867
"1931","36 Jahre","Geschlecht - Total",57170
"1932","36 Jahre","Geschlecht - Total",61493
"1933","36 Jahre","Geschlecht - Total",62710
"1934","36 Jahre","Geschlecht - Total",63698
"1935","36 Jahre","Geschlecht - Total",65396
"1936","36 Jahre","Geschlecht - Total",65090
"1937","36 Jahre","Geschlecht - Total",70452
"1938","36 Jahre","Geschlecht - Total",70451
"1939","36 Jahre","Geschlecht - Total",68396
"1940","36 Jahre","Geschlecht - Total",68988
"1941","36 Jahre","Geschlecht - Total",68708
"1942","36 Jahre","Geschlecht - Total",72233
"1943","36 Jahre","Geschlecht - Total",71372
"1944","36 Jahre","Geschlecht - Total",73172
"1945","36 Jahre","Geschlecht - Total",71524
"1946","36 Jahre","Geschlecht - Total",72321
"1947","36 Jahre","Geschlecht - Total",69719
"1948","36 Jahre","Geschlecht - Total",71892
"1949","36 Jahre","Geschlecht - Total",70297
"1950","36 Jahre","Geschlecht - Total",69907
"1951","36 Jahre","Geschlecht - Total",63379
"1952","36 Jahre","Geschlecht - Total",63246
"1953","36 Jahre","Geschlecht - Total",61732
"1954","36 Jahre","Geschlecht - Total",63638
"1955","36 Jahre","Geschlecht - Total",64558
"1956","36 Jahre","Geschlecht - Total",74705
"1957","36 Jahre","Geschlecht - Total",75093
"1958","36 Jahre","Geschlecht - Total",72512
"1959","36 Jahre","Geschlecht - Total",73395
"1960","36 Jahre","Geschlecht - Total",72579
"1961","36 Jahre","Geschlecht - Total",74105
"1962","36 Jahre","Geschlecht - Total",74916
"1963","36 Jahre","Geschlecht - Total",74574
"1964","36 Jahre","Geschlecht - Total",76651
"1965","36 Jahre","Geschlecht - Total",77331
"1966","36 Jahre","Geschlecht - Total",80747
"1967","36 Jahre","Geschlecht - Total",79290
"1968","36 Jahre","Geschlecht - Total",81314
"1969","36 Jahre","Geschlecht - Total",82099
"1970","36 Jahre","Geschlecht - Total",84411
"1971","36 Jahre","Geschlecht - Total",85175
"1972","36 Jahre","Geschlecht - Total",85260
"1973","36 Jahre","Geschlecht - Total",83575
"1974","36 Jahre","Geschlecht - Total",86002
"1975","36 Jahre","Geschlecht - Total",86464
"1976","36 Jahre","Geschlecht - Total",86337
"1977","36 Jahre","Geschlecht - Total",89837
"1978","36 Jahre","Geschlecht - Total",94660
"1979","36 Jahre","Geschlecht - Total",97451
"1980","36 Jahre","Geschlecht - Total",100006
"1981","36 Jahre","Geschlecht - Total",100181
"1982","36 Jahre","Geschlecht - Total",103292
"1983","36 Jahre","Geschlecht - Total",102268
"1984","36 Jahre","Geschlecht - Total",102575
"1985","36 Jahre","Geschlecht - Total",99975
"1986","36 Jahre","Geschlecht - Total",100229
"1987","36 Jahre","Geschlecht - Total",96568
"1988","36 Jahre","Geschlecht - Total",99149
"1989","36 Jahre","Geschlecht - Total",98871
"1990","36 Jahre","Geschlecht - Total",101441
"1991","36 Jahre","Geschlecht - Total",104654
"1992","36 Jahre","Geschlecht - Total",108017
"1993","36 Jahre","Geschlecht - Total",110669
"1994","36 Jahre","Geschlecht - Total",111749
"1995","36 Jahre","Geschlecht - Total",114826
"1996","36 Jahre","Geschlecht - Total",117580
"1997","36 Jahre","Geschlecht - Total",118650
"1998","36 Jahre","Geschlecht - Total",121639
"1999","36 Jahre","Geschlecht - Total",125260
"2000","36 Jahre","Geschlecht - Total",127704
"2001","36 Jahre","Geschlecht - Total",126269
"2002","36 Jahre","Geschlecht - Total",125633
"2003","36 Jahre","Geschlecht - Total",122619
"2004","36 Jahre","Geschlecht - Total",121398
"2005","36 Jahre","Geschlecht - Total",118609
"2006","36 Jahre","Geschlecht - Total",115089
"2007","36 Jahre","Geschlecht - Total",114828
"2008","36 Jahre","Geschlecht - Total",112539
"2009","36 Jahre","Geschlecht - Total",110044
"2010","36 Jahre","Geschlecht - Total",109432
"2011","36 Jahre","Geschlecht - Total",107898
"2012","36 Jahre","Geschlecht - Total",109624
"2013","36 Jahre","Geschlecht - Total",111964
"2014","36 Jahre","Geschlecht - Total",113408
"2015","36 Jahre","Geschlecht - Total",116085
"2016","36 Jahre","Geschlecht - Total",120823
"2017","36 Jahre","Geschlecht - Total",121530
"2018","36 Jahre","Geschlecht - Total",123482
"2019","36 Jahre","Geschlecht - Total",122415
"2020","36 Jahre","Geschlecht - Total",124621
"2021","36 Jahre","Geschlecht - Total",125739
"2022","36 Jahre","Geschlecht - Total",127858
"1860","37 Jahre","Geschlecht - Total",34446
"1861","37 Jahre","Geschlecht - Total",34786
"1862","37 Jahre","Geschlecht - Total",35126
"1863","37 Jahre","Geschlecht - Total",35466
"1864","37 Jahre","Geschlecht - Total",35807
"1865","37 Jahre","Geschlecht - Total",36147
